0|OnHold|10.05.2024. 12:00:00|19.06.2024. 12:00:00|5|1|1,2,3|Turkish|3|description|12.05.2024. 12:00:00|3
1|OnHold|02.02.2024. 12:00:00|19.03.2024. 12:00:00|2|1|1,2,3|Bulgarian|1|description|12.05.2024. 12:00:00|2
2|OnHold|11.06.2024. 12:00:00|17.06.2024. 12:00:00|5|1|1,2,3|Portuguese|3|description|12.05.2024. 12:00:00|4
3|OnHold|10.05.2024. 12:00:00|26.06.2024. 12:00:00|1|1|1,2,3|Swedish|7|description|12.05.2024. 12:00:00|4
4|OnHold|10.02.2024. 12:00:00|19.08.2024. 12:00:00|1|1|1,2,3|Polish|10|description|12.05.2024. 12:00:00|4
5|OnHold|01.06.2024. 00:00:00|31.08.2024. 00:00:00|4|3|17|Slovenian|1|bla bla bla bla bla bla bla |12.05.2024. 12:00:00|2
6|OnHold|01.06.2024. 00:00:00|31.08.2024. 00:00:00|4|3|17|Turkish|1|bla bla bla bla bla bla bla |12.05.2021. 12:00:00|2
7|Accepted|01.06.2024. 00:00:00|31.08.2024. 00:00:00|5|3|17|Swedish|34|bla bla bla bla bla bla bla |12.05.2024. 12:00:00|2
8|Accepted|01.06.2024. 00:00:00|31.08.2024. 00:00:00|2|3|17|Turkish|21|bla bla bla bla bla bla bla |12.05.2024. 12:00:00|2
9|OnHold|01.06.2024. 00:00:00|31.08.2024. 00:00:00|4|3|17|Portuguese|1|bla bla bla bla bla bla bla |12.05.2024. 12:00:00|4
10|Accepted|01.06.2024. 00:00:00|31.08.2024. 00:00:00|4|3|17,2|Turkish|3|bla bla bla bla bla bla bla |12.05.2024. 12:00:00|4
11|Invalid|01.06.2024. 00:00:00|31.08.2024. 00:00:00|5|3|17|Bulgarian|1|bla bla bla bla bla bla bla |12.05.2023. 12:00:00|4
12|Invalid|01.06.2024. 00:00:00|31.08.2024. 00:00:00|5|3|17|Portuguese|1|bla bla bla bla bla bla bla |12.05.2022. 12:00:00|4
13|Accepted|22.08.2024. 00:00:00|25.10.2024. 00:00:00|4|3|18|Turkish|1|nskjzxhujgdesz|13.05.2024. 22:54:30|4
